BEDFORD AV,BMT,,BMT,Bedford Av,,,
BEVERLEY ROAD,BMT,,BMT,Beverley Rd,,,
BOROUGH HALL,BMT,, , ,,,
BOTANIC GARDEN,BMT,,BMT,Botanic Garden,,,
BOWERY,BMT,,BMT,Bowery,,,
BRIGHTON BEACH,BMT,,BMT,Brighton Beach,,,
BROAD ST,BMT,,BMT,Broad St,,,
BROADWAY,BMT,,BMT,Broadway,,,
BUSHWICK AV,BMT,,BMT,Bushwick Av - Aberdeen St,,,
CANAL ST,BMT,,BMT,Canal St,,,
CANARSIE-ROCKAW,BMT,,BMT,Canarsie - Rockaway Pkwy,,,
CENTRAL AV,BMT,,BMT,Central Av,,,
CHAMBERS ST,BMT,,BMT,Chambers St,,,
CHAUNCEY ST,BMT,,BMT,Chauncey St,,,
CHURCH AV,BMT,,BMT,Church Av,,,
CITY HALL,BMT,,BMT,City Hall,,,
CLEVELAND ST,BMT,,BMT,Cleveland St,,,
CONEY IS-STILLW,BMT,,BMT,Coney Island - Stillwell Av,,,
CORTELYOU RD,BMT,,BMT,Cortelyou Rd,,,
CORTLANDT ST,BMT,,BMT,Cortlandt St,,,
CRESCENT ST,BMT,,BMT,Crescent St,,,
CYPRESS HILLS,BMT,,BMT,Cypress Hills,,,
DEKALB AV,BMT,,BMT,DeKalb Av,,,
DELANCEY/ESSEX,BMT,, , ,,,
EAST 105 ST,BMT,,BMT,E 105 St,,,
FLUSHING AV,BMT,,BMT,Flushing Av,,,
FOREST AVE,BMT,,BMT,Forest Av,,,
FRESH POND RD,BMT,,BMT,Fresh Pond Rd, ,,
FT HAMILTON PKY,BMT,,BMT,Fort Hamilton Pkwy,,,
FULTON ST,BMT,,BMT,Fulton St,,,
GATES AV,BMT,,BMT,Gates Av,,,
GRAHAM AV,BMT,,BMT,Graham Av,,,
GRAND ST,BMT,,BMT,Grand St,,,
HALSEY ST,BMT,,BMT,Halsey St,,,
HEWES ST,BMT,,BMT,Hewes St,,,
JAY ST-METROTEC,BMT,,BMT,Jay St - MetroTech,,,
