	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
378	BURKE AV	IRT	56234.0	23459.0	IRT	Burke Av	422.0	422.0	209	Lenox - White Plains Rd	Bx	2 5	Elevated	40.871356	-73.867164
379	LONGWOOD AV	IRT	56108.0	50870.0	IRT	Longwood Av	372.0	372.0	614	Pelham	Bx	6	Subway	40.816103999999996	-73.896435
380	AVENUE H	BMT	55314.0	46462.0	BMT	Avenue H	48.0	48.0	D32	Broadway - Brighton	Bk	B Q	Open Cut	40.62927	-73.961639
381	NORWOOD AV	BMT	55210.0	57324.0	BMT	Norwood Av	88.0	88.0	J21	Jamaica	Bk	J Z	Elevated	40.68141	-73.880039
382	BAYCHESTER AV	IRT	55183.0	8498.0	IRT	Baychester Av	443.0	443.0	502	Dyre Av	Bx	5	Open Cut	40.878663	-73.83859100000001
383	CENTRAL AV	BMT	54791.0	50270.0	BMT	Central Av	114.0	114.0	M10	Myrtle Av	Bk	M	Elevated	40.697857	-73.927397
384	30 AV	BMT	54741.0	67148.0	BMT	30 Av	3.0	3.0	R04	Astoria	Q	N W	Elevated	40.766779	-73.921479
385	138/GRAND CONC	IRT	54624.0	50128.0	IRT	138 St - Grand Concourse	391.0	391.0	416	Jerome Av	Bx	4 5	Subway	40.813224	-73.929849
386	VAN SICLEN AVE	IND	54229.0	53776.0	IND	Van Siclen Av	186.0	186.0	A53	8th Av - Fulton St	Bk	C	Subway	40.672709999999995	-73.89035799999999
387	INTERVALE AV	IRT	54048.0	55048.0	IRT	Intervale Av	431.0	431.0	218	Lenox - White Plains Rd	Bx	2 5	Elevated	40.822181	-73.896736
388	CYPRESS AV	IRT	54032.0	38128.0	IRT	Cypress Av	375.0	375.0	617	Pelham	Bx	6	Subway	40.805368	-73.91404200000001
389	50 ST	BMT	53611.0	50628.0	BMT	50 St	61.0	61.0	B14	West End	Bk	D	Elevated	40.63626	-73.994791
390	CLEVELAND ST	BMT	52561.0	56308.0	BMT	Cleveland St	89.0	89.0	J22	Jamaica	Bk	J	Elevated	40.679947	-73.884639
391	AVENUE X	IND	50775.0	33257.0	IND	Avenue X	252.0	252.0	F38	6th Av - Culver	Bk	F	Elevated	40.589620000000004	-73.97425
392	FLUSHING AV	IND	49888.0	51388.0	IND	Flushing Av	287.0	287.0	G31	Crosstown	Bk	G	Subway	40.700377	-73.950234
393	HEWES ST	BMT	49446.0	22243.0	BMT	Hewes St	100.0	100.0	M14	Jamaica	Bk	J M	Elevated	40.70687	-73.95343100000001
394	PARK PLACE	IRT	49007.0	40341.0	IRT	Park Pl	331.0	624.0	228	Clark St	M	2 3	Subway	40.713051	-74.008811
395	88 ST	IND	48391.0	19603.0	IND	88 St	191.0	191.0	A60	Liberty Av	Q	A	Elevated	40.679843	-73.85146999999999
396	BEACH 67 ST	IND	47618.0	37156.0	IND	Beach 67 St	204.0	204.0	H06	Rockaway	Q	A	Viaduct	40.590927	-73.796924
397	VAN SICLEN AV	BMT	47412.0	51739.0	BMT	Van Siclen Av	90.0	90.0	J23	Jamaica	Bk	J Z	Elevated	40.678024	-73.891688
398	LIBERTY AV	IND	46811.0	23134.0	IND	Liberty Av	185.0	185.0	A52	8th Av - Fulton St	Bk	C	Subway	40.674541999999995	-73.896548
399	BAY 50 ST	BMT	46134.0	8995.0	BMT	Bay 50 St	70.0	70.0	B23	West End	Bk	D	Elevated	40.588840999999995	-73.983765
400	BOROUGH HALL	BMT	45662.0	28570.0	 	 									
401	111 ST	BMT	45372.0	27874.0	BMT	111 St	81.0	81.0	J13	Jamaica	Q	J	Elevated	40.697418	-73.836345
402	ZEREGA AV	IRT	44657.0	41479.0	IRT	Zerega Av	364.0	364.0	606	Pelham	Bx	6	Elevated	40.836488	-73.847036
403	AQUEDUCT RACETR	IND	44411.0	3550.0	IND	Aqueduct Racetrack	196.0	196.0	H01	Rockaway	Q	A	At Grade	40.672096999999994	-73.83591899999999
404	111 ST	IND	43616.0	14649.0	IND	111 St	194.0	194.0	A64	Liberty Av	Q	A	Elevated	40.684331	-73.832163
405	VAN SICLEN AV	IRT	43186.0	44846.0	IRT	Van Siclen Av	351.0	351.0	256	Eastern Pky	Bk	3	Elevated	40.665449	-73.889395
406	BRONX PARK EAST	IRT	41472.0	17673.0	IRT	Bronx Park East	425.0	425.0	212	Lenox - White Plains Rd	Bx	2 5	Elevated	40.848828000000005	-73.86845699999999
407	BUSHWICK AV	BMT	40370.0	29298.0	BMT	Bushwick Av - Aberdeen St	131.0	131.0	L21	Canarsie	Bk	L	Subway	40.682829	-73.905249
408	BEACH 60 ST	IND	39616.0	29999.0	IND	Beach 60 St	205.0	205.0	H07	Rockaway	Q	A	Viaduct	40.592374	-73.788522
409	ALABAMA AV	BMT	39417.0	40920.0	BMT	Alabama Av	91.0	91.0	J24	Jamaica	Bk	J	Elevated	40.676992	-73.89865400000001
410	104 ST	BMT	39052.0	20562.0	BMT	104 St	82.0	82.0	J14	Jamaica	Q	J Z	Elevated	40.695178000000006	-73.84433
411	MORRIS PARK	IRT	37903.0	39702.0	IRT	Morris Park	446.0	446.0	505	Dyre Av	Bx	5	Open Cut	40.854364000000004	-73.860495
412	SENECA AVE	BMT	37887.0	37090.0	BMT	Seneca Av	111.0	111.0	M06	Myrtle Av	Q	M	Elevated	40.702762	-73.90774
413	55 ST	BMT	36941.0	16506.0	BMT	55 St	62.0	62.0	B15	West End	Bk	D	Elevated	40.631434999999996	-73.995476
414	MIDDLETOWN RD	IRT	34744.0	33612.0	IRT	Middletown Rd	362.0	362.0	603	Pelham	Bx	6	Elevated	40.843863	-73.836322
415	ATLANTIC AV	BMT	33889.0	13309.0	BMT	Atlantic Av	133.0	133.0	L24	Canarsie	Bk	L	Elevated	40.675345	-73.903097
416	BEACH 25 ST	IND	32319.0	34760.0	IND	Beach 25 St	208.0	208.0	H10	Rockaway	Q	A	Viaduct	40.600066	-73.761353
417	21 ST	IND	32171.0	34324.0	IND	21 St	282.0	282.0	G24	Crosstown	Q	G	Subway	40.744065	-73.949724
418	WHITLOCK AV	IRT	31338.0	34387.0	IRT	Whitlock Av	370.0	370.0	612	Pelham	Bx	6	Elevated	40.826525	-73.88628299999999
419	PARK PLACE	BMT	31107.0	35447.0	BMT	Park Pl	141.0	141.0	S03	Franklin Shuttle	Bk	S	Open Cut	40.674772	-73.957624
420	JUNIUS ST	IRT	30958.0	36340.0	IRT	Junius St	349.0	349.0	254	Eastern Pky	Bk	3	Elevated	40.663515000000004	-73.902447
421	104 ST	IND	30791.0	11052.0	IND	104 St	193.0	193.0	A63	Liberty Av	Q	A	Elevated	40.681711	-73.837683
422	AVENUE N	IND	29670.0	2979.0	IND	Avenue N	248.0	248.0	F33	6th Av - Culver	Bk	F	Elevated	40.615140000000004	-73.974197
423	215 ST	IRT	28584.0	25066.0	IRT	215 St	297.0	297.0	107	Broadway - 7Av	M	1	Elevated	40.869444	-73.915279
424	36 AV	BMT	26077.0	31307.0	BMT	36 Av	5.0	5.0	R06	Astoria	Q	N W	Elevated	40.756803999999995	-73.929575
425	NEPTUNE AV	IND	24750.0	9189.0	IND	Neptune Av	253.0	253.0	F39	6th Av - Culver	Bk	F	Elevated	40.581011	-73.974574
426	CYPRESS HILLS	BMT	24664.0	15756.0	BMT	Cypress Hills	86.0	86.0	J19	Jamaica	Bk	J	Elevated	40.689941	-73.87255
427	AVENUE P	IND	23124.0	3124.0	IND	Avenue P	249.0	249.0	F34	6th Av - Culver	Bk	F	Elevated	40.608944	-73.973022
428	BOTANIC GARDEN	BMT	23069.0	37163.0	BMT	Botanic Garden	142.0	626.0	S04	Franklin Shuttle	Bk	S	Open Cut	40.670343	-73.959245
429	BEACH 90 ST	IND	22784.0	18756.0	IND	Beach 90 St	200.0	200.0	H12	Rockaway	Q	A S	Viaduct	40.588034	-73.813641
430	121 ST	BMT	21558.0	9228.0	BMT	121 St	80.0	80.0	J12	Jamaica	Q	J Z	Elevated	40.700492	-73.828294
431	NEWARK HM HE	PTH	20745.0	314711.0	 	 									
432	BEACH 36 ST	IND	17019.0	18644.0	IND	Beach 36 St	207.0	207.0	H09	Rockaway	Q	A	Viaduct	40.595397999999996	-73.768175
433	E 143/ST MARY'S	IRT	16316.0	18926.0	IRT	E 143 St - St Mary's St	374.0	374.0	616	Pelham	Bx	6	Subway	40.808719	-73.907657
434	AQUEDUCT N.COND	IND	16198.0	33978.0	IND	Aqueduct - N Conduit Av	197.0	197.0	H02	Rockaway	Q	A	At Grade	40.668234000000005	-73.834058
435	ROCKAWAY PARK B	IND	15468.0	17951.0	IND	Rockaway Park - Beach 116 St	203.0	203.0	H15	Rockaway	Q	A S	At Grade	40.580903	-73.835592
436	TOMPKINSVILLE	SRT	14339.0	0.0	SIR	Tompkinsville	502.0	502.0	S30	Staten Island	SI	SIR	At Grade	40.636949	-74.074835
437	BEACH 44 ST	IND	13326.0	14187.0	IND	Beach 44 St	206.0	206.0	H08	Rockaway	Q	A	Viaduct	40.592943	-73.776013
438	AVENUE I	IND	11428.0	5034.0	IND	Avenue I	246.0	246.0	F31	6th Av - Culver	Bk	F	Elevated	40.625322	-73.976127
439	AVENUE U	IND	10141.0	7858.0	IND	Avenue U	251.0	251.0	F36	6th Av - Culver	Bk	F	Elevated	40.596063	-73.973357
440	BEACH 98 ST	IND	9126.0	9645.0	IND	Beach 98 St	201.0	201.0	H13	Rockaway	Q	A S	Viaduct	40.585307	-73.82055799999999
441	BEACH 105 ST	IND	7101.0	7305.0	IND	Beach 105 St	202.0	202.0	H14	Rockaway	Q	A S	Viaduct	40.583209000000004	-73.827559
442	BAY PKWY	IND	6646.0	2039.0	IND	Bay Pkwy	247.0	247.0	F32	6th Av - Culver	Bk	F	Elevated	40.620769	-73.975264
443	BROAD CHANNEL	IND	5363.0	1580.0	IND	Broad Channel	199.0	199.0	H04	Rockaway	Q	A S	At Grade	40.608382	-73.815925
444	ORCHARD BEACH	IND	312.0	373.0	  	 									
